provincia;anio;precipitacion_total;temperatura_media;humedad_relativa
Entre Ríos;2012;1597.2;17.44;75.2
Entre Ríos;2013;938.04;17.41;69.71
Entre Ríos;2014;1594.11;17.22;77.26
Entre Ríos;2015;1069.02;18.01;71.91
Entre Ríos;2016;1185.43;17.32;74.37
Entre Ríos;2017;1353.84;17.93;76.23
Entre Ríos;2018;1308.03;17.87;73.59
Entre Ríos;2019;1184.21;17.34;75.76
Entre Ríos;2020;889.17;18.03;66.9
Entre Ríos;2021;847.19;18.24;68.77
Entre Ríos;2022;1009.74;17.57;67.71
Entre Ríos;2023;920.34;18.93;65.23
Formosa;1981;1455.02;22.13;73.34
Formosa;1982;1370.39;22.93;69.23
Formosa;1983;1213.11;22.31;68.62
Formosa;1984;1371.78;23.48;66.2
Formosa;1985;994.95;24.1;60.31
Formosa;1986;1474.65;23.83;64.56
Formosa;1987;1072.05;22.9;62.99
Formosa;1988;1155.55;22.6;61.61
Formosa;1989;1372.72;22.4;68.75
Formosa;1990;1415.84;22.91;69.91
Formosa;1991;1558.93;22.67;69.53
Formosa;1992;1853.64;21.61;75.71
Formosa;1993;974.34;22.72;64.74
Formosa;1994;1273.74;23.5;65.08
Formosa;1995;828.41;23.86;57.55
Formosa;1996;1311.27;22.72;66.07
Formosa;1997;862.83;24.76;57.63
Formosa;1998;1308.7;22.55;70.48
Formosa;1999;1029.88;23.0;61.04
Formosa;2000;1258.24;22.82;65.61
Formosa;2001;909.13;23.84;62.33
Formosa;2002;1246.93;23.81;65.33
Formosa;2003;1031.32;23.9;59.75
Formosa;2004;1091.35;23.31;61.18
Formosa;2005;882.53;23.51;60.86
Formosa;2006;1082.32;24.15;61.31
Formosa;2007;1009.82;22.9;63.22
Formosa;2008;942.03;23.27;59.52
Formosa;2009;743.33;24.08;57.98
Formosa;2010;1007.51;22.43;65.01
Formosa;2011;1141.03;22.74;65.3
Formosa;2012;949.2;23.88;62.16
Formosa;2013;836.83;23.33;61.01
Formosa;2014;1201.41;23.57;69.04
Formosa;2015;1357.03;23.54;70.6
Formosa;2016;1238.46;22.08;70.87
Formosa;2017;1107.59;23.58;67.27
Formosa;2018;1088.4;23.38;65.8
Formosa;2019;1318.7;22.75;71.56
Formosa;2020;919.88;24.16;55.32
Formosa;2021;884.21;23.42;60.38
Formosa;2022;719.6;23.77;55.31
Formosa;2023;917.59;25.29;60.98
Jujuy;1981;1061.44;19.4;66.52
Jujuy;1982;847.66;19.84;63.05
Jujuy;1983;702.08;19.59;59.85
Jujuy;1984;1098.23;19.53;65.5
Jujuy;1985;1046.43;20.2;60.48
Jujuy;1986;822.69;20.74;57.17
Jujuy;1987;801.13;19.66;58.06
Jujuy;1988;897.55;19.28;60.58
Jujuy;1989;845.72;19.77;58.57
Jujuy;1990;980.61;19.69;60.45
Jujuy;1991;984.81;19.77;63.62
Jujuy;1992;750.87;19.26;59.21
Jujuy;1993;796.68;19.45;56.98
Jujuy;1994;762.83;20.44;56.43
Jujuy;1995;749.82;19.9;55.46
Jujuy;1996;634.02;19.54;57.94
Jujuy;1997;520.8;20.78;56.1
Jujuy;1998;676.57;19.81;57.02
Jujuy;1999;895.81;18.94;61.2
Jujuy;2000;841.98;18.99;60.79
Jujuy;2001;791.2;19.93;58.74
Jujuy;2002;698.29;20.23;56.32
Jujuy;2003;1075.68;19.86;58.73
Jujuy;2004;886.78;19.53;59.7
Jujuy;2005;612.37;19.97;53.65
Jujuy;2006;719.39;20.35;57.64
Jujuy;2007;869.43;19.0;59.45
Jujuy;2008;1015.7;19.1;60.29
Jujuy;2009;768.71;19.93;56.37
Jujuy;2010;630.88;19.23;56.4
Jujuy;2011;733.95;19.42;58.34
Jujuy;2012;637.82;20.27;57.69
Jujuy;2013;574.2;20.14;52.46
Jujuy;2014;804.8;20.15;59.76
Jujuy;2015;774.96;20.17;61.88
Jujuy;2016;950.61;19.31;61.21
Jujuy;2017;675.24;20.4;57.56
Jujuy;2018;909.98;19.52;61.78
Jujuy;2019;893.5;19.9;60.19
Jujuy;2020;783.81;20.37;56.37
Jujuy;2021;816.71;19.6;60.36
Jujuy;2022;1373.04;19.49;54.26
Jujuy;2023;698.09;21.61;56.07
La Pampa;1981;787.6;16.25;63.77
La Pampa;1982;923.48;16.11;65.3
La Pampa;1983;940.11;15.54;66.21
La Pampa;1984;990.46;14.81;70.29
La Pampa;1985;1052.74;15.92;64.91
La Pampa;1986;840.24;15.8;63.64
La Pampa;1987;919.72;15.73;66.89
La Pampa;1988;803.85;15.74;59.11
La Pampa;1989;914.69;16.38;62.47
La Pampa;1990;864.3;15.76;64.85
La Pampa;1991;999.69;15.82;66.9
La Pampa;1992;1159.87;15.1;68.0
La Pampa;1993;888.75;15.33;66.87
La Pampa;1994;807.15;16.28;60.99
La Pampa;1995;593.78;15.93;55.21
La Pampa;1996;955.15;15.85;60.46
La Pampa;1997;876.54;16.22;63.96
La Pampa;1998;750.95;15.82;64.8
La Pampa;1999;1102.41;15.15;67.48
La Pampa;2000;932.33;15.08;66.93
La Pampa;2001;1175.48;15.72;69.49
La Pampa;2002;820.57;15.54;64.29
La Pampa;2003;499.32;16.57;56.14
La Pampa;2004;781.02;16.33;62.71
La Pampa;2005;527.59;15.97;58.27
La Pampa;2006;705.08;16.4;57.64
La Pampa;2007;704.78;15.13;61.34
La Pampa;2008;643.99;16.64;58.03
La Pampa;2009;509.8;16.82;51.44
La Pampa;2010;695.51;15.86;59.48
La Pampa;2011;757.15;15.97;58.69
La Pampa;2012;1209.42;15.49;67.38
La Pampa;2013;547.97;16.4;56.92
La Pampa;2014;1014.05;15.94;65.98
La Pampa;2015;761.46;16.06;64.05
La Pampa;2016;1021.13;15.3;69.04
La Pampa;2017;1148.61;15.86;69.02
La Pampa;2018;684.68;16.4;60.54
La Pampa;2019;542.57;16.3;57.22
La Pampa;2020;1093.02;15.62;63.76
La Pampa;2021;946.81;16.0;65.27
La Pampa;2022;675.6;15.78;58.39
La Pampa;2023;682.02;16.92;57.04
Misiones;1981;1447.77;21.1;76.88
Misiones;1982;2188.34;21.09;78.55
Misiones;1983;2664.32;19.67;84.88
Misiones;1984;2232.28;20.45;84.25
Misiones;1985;2109.73;21.04;79.46
Misiones;1986;2380.64;21.17;80.58
Misiones;1987;2398.76;19.79;83.28
Misiones;1988;1562.52;20.56;72.11
Misiones;1989;2138.16;20.24;79.36
Misiones;1990;2536.79;20.37;83.86
Misiones;1991;1600.19;21.55;73.88
Misiones;1992;2072.79;19.94;83.19
Misiones;1993;1883.18;20.34;81.22
Misiones;1994;2223.14;20.92;82.78
Misiones;1995;1280.08;21.71;71.71
Misiones;1996;1937.89;20.64;79.77
Misiones;1997;2202.18;21.27;79.61
Misiones;1998;2403.89;20.19;85.68
Misiones;1999;1658.39;20.74;76.1
Misiones;2000;1925.7;20.52;78.87
Misiones;2001;1654.27;20.89;83.1
Misiones;2002;2404.98;21.13;81.35
Misiones;2003;1827.81;20.36;81.02
Misiones;2004;1308.15;21.11;73.02
Misiones;2005;1562.0;21.22;75.85
Misiones;2006;1570.93;21.68;72.25
Misiones;2007;2017.0;20.38;80.86
Misiones;2008;1301.78;20.81;73.85
Misiones;2009;1899.87;20.96;76.42
Misiones;2010;1691.47;19.97;82.31
Misiones;2011;1381.43;21.08;74.69
Misiones;2012;1327.89;22.29;68.63
Misiones;2013;1394.75;20.61;75.66
Misiones;2014;2545.41;21.22;81.34
Misiones;2015;2195.7;20.87;85.88
Misiones;2016;1714.39;20.21;82.59
Misiones;2017;2547.25;20.99;82.56
Misiones;2018;1673.45;21.32;76.06
Misiones;2019;1865.02;21.21;79.63
Misiones;2020;1539.56;21.43;69.68
Misiones;2021;1299.11;21.34;71.23
Misiones;2022;1617.35;20.99;73.4
Misiones;2023;2281.87;22.21;76.64
Salta;1981;895.41;19.7;69.48
Salta;1982;800.35;19.85;69.14
Salta;1983;677.24;19.58;65.36
Salta;1984;1046.3;19.65;69.65
Salta;1985;870.12;20.52;63.87
Salta;1986;812.95;20.75;64.23
Salta;1987;775.02;19.68;63.13
Salta;1988;794.63;19.44;63.27
Salta;1989;731.62;19.99;62.04
Salta;1990;896.46;19.81;64.65
Salta;1991;1041.09;19.77;69.46
Salta;1992;838.52;19.1;67.91
Salta;1993;827.36;19.36;62.68
Salta;1994;796.03;20.37;61.57
Salta;1995;736.96;19.96;59.35
Salta;1996;636.33;19.59;62.82
Salta;1997;529.69;20.86;60.85
Salta;1998;694.09;19.64;63.3
Salta;1999;905.18;18.95;64.99
Salta;2000;842.22;18.9;65.49
Salta;2001;802.68;19.83;64.09
Salta;2002;690.68;20.16;62.13
Salta;2003;1084.57;19.72;63.88
Salta;2004;899.02;19.45;64.18
Salta;2005;624.26;19.76;60.1
Salta;2006;768.52;20.28;62.8
Salta;2007;874.52;18.75;64.89
Salta;2008;999.26;19.13;64.94
Salta;2009;751.81;19.91;60.17
Salta;2010;620.42;19.01;62.16
Salta;2011;737.01;19.33;63.11
Salta;2012;632.5;20.16;62.43
Salta;2013;562.29;20.03;57.17
Salta;2014;797.63;20.13;65.17
Salta;2015;751.27;20.11;67.85
Salta;2016;942.28;19.07;66.95
Salta;2017;678.5;20.24;64.07
Salta;2018;892.05;19.36;67.22
Salta;2019;879.23;19.64;65.8
Salta;2020;800.83;20.07;61.41
Salta;2021;728.57;19.77;63.02
Salta;2022;1417.12;19.33;59.36
Salta;2023;695.35;21.37;62.66
San Luis;1981;643.82;18.11;57.32
San Luis;1982;642.21;18.14;56.86
San Luis;1983;656.89;17.8;56.16
San Luis;1984;806.63;17.38;60.98
San Luis;1985;713.79;18.53;57.11
San Luis;1986;382.41;19.37;52.16
San Luis;1987;512.06;18.34;52.25
San Luis;1988;523.33;18.19;47.75
San Luis;1989;624.98;18.5;53.11
San Luis;1990;582.6;18.08;55.37
San Luis;1991;651.96;18.03;57.65
San Luis;1992;659.05;17.13;58.96
